"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","geometry"
"2338",0.833333313,"XX",2024-01-11,2024,1,2024,"S86-114",c(894262, 6424296)
"2339",0.786458313,"XX",2024-01-11,2024,1,2024,"S56-48",c(974541, 6325707)
"2340",0.875,"XY",2024-01-11,2024,1,2024,"S86-113",c(893887, 6365950)
"2342",0.890625,"XX",2024-01-11,2024,1,2024,"S82-109",c(989990, 6367520)
"2343",0.65625,"XY",2024-01-12,2024,1,2024,"S82-065",c(973335, 6241161)
"2344",0.578125,"XY",2024-01-12,2024,1,2024,"S86-198",c(997748, 6411419)
"2345",0.927083313,"XY",2024-01-12,2024,1,2024,"S59-06",c(901560, 6420553)
"2346",0.942708313,"XX",2024-01-12,2024,1,2024,"S75-031",c(951400, 6377056)
"2347",0.505208313,"XX",2024-01-12,2024,1,2024,"S86-108",c(992069, 6432417)
"2348",1,"XY",2024-01-12,2024,1,2024,"S86-015",c(934381, 6451309)
"2349",0.947916687,"XX",2024-01-12,2024,1,2024,"S70-007",c(976898, 6242101)
"2350",1,"XX",2024-01-12,2024,1,2024,"S86-089",c(946089, 6483843)
"2351",0.953125,"XX",2024-01-12,2024,1,2024,"S79-060",c(979396, 6248431)
"2352",1,"XX",2024-01-12,2024,1,2024,"S86-046",c(1025033, 6353726)
"2353",1,"XY",2024-01-12,2024,1,2024,"S86-044",c(1025268, 6353394)
"2354",0.84375,"XX",2024-01-12,2024,1,2024,"S85-098",c(1017029, 6354314)
"2355",0.651041687,"XY",2024-01-12,2024,1,2024,"S80-015",c(753418, 6404057)
"2356",1,"XY",2024-01-12,2024,1,2024,"S86-015",c(934381, 6451309)
"2357",1,"XX",2024-01-13,2024,1,2024,"S82-021",c(968186, 6314554)
"2358",1,"XY",2024-01-13,2024,1,2024,"S87-037",c(999321, 6349835)
"2359",0.989583313,"XY",2024-01-13,2024,1,2024,"S86-052",c(922285, 6341010)
"2360",0.53125,"XX",2024-01-14,2024,1,2024,"S82-025",c(938365, 6316103)
"2361",1,"XX",2024-01-14,2024,1,2024,"S82-025",c(939457, 6316672)
"2362",0.927083313,"XX",2024-01-14,2024,1,2024,"S86-100",c(938914, 6316301)
"2363",0.708333313,"XX",2024-01-15,2024,1,2024,"S83-044",c(906833, 6376503)
